Agrob gra-Bogharz
Badbog gra-Shug
Bashuk gra-Bat
Bogdub gra-Gurakh
Bugdurash gra-Gashel
Bula gra-Muk
Bulak gra-Murug
Bulfim gra-Shugarz
Bum gra-Logob
Burub gra-Bamog
Burzob gra-Sharbag
Dura gra-Bol
Durgat gra-Glurkub
Durz gra-Rimph
Gashnakh gra-Mughol
Ghob gra-Gholob
Glasha gra-Magar
Glob gra-Ghasharzol
Gluronk gra-Shula
Gonk gra-Gurub
Grat gra-Sharolg
Grazob gra-Kharz
Gulfim gra-Borbul
Kharzug gra-Gat
Lagakh gra-Lorga
Lambug gra-Lurn
Lazgar gra-Durog
Mogak gra-Ugruma
Morn gra-Khatub
Murob gra-Loghash
Murzush gra-Bulfim
Nargol gra-Uftharz
Orbul gra-Lumob
Ragash gra-Shuzgub
Rolfish gra-Dugul
Rulfim gra-Ogdub
Shadbak gra-Burbug
Shagar gra-Snagarz
Shagdub gra-Murz
Sharn gra-Muzgob
Sharog gra-Ulfish
Shelur gra-Yargul
Sloomalah
Uloth gra-Ushar
Ulumpha gra-Sharob
Urzoth gra-Bargamph
Urzul gra-Agum
Ushug gra-Olurba
Yazgash gra-Boga
Sharn Gra-Muzgob
