Atulg gro-Largum
Atúlg gro-Largúm
Azuk gro-Rugob
Bagamul gro-Dumul
Baronk gro-Uzuk
Bashag gro-Snagdu
Bazgulub gro-Ulfish
Bogakh gro-Mar
Borug gro-Lazgarn
Both gro-Durug
Bugdul gro-Kharbush
Bugharz gro-Ular
Bugrash gro-Gorzog
Bugrol gro-Bagul
Bumbub gro-Murgol
Burul gro-Orbuma
Chaplain Ogrul
Dreggs
Dul gro-Dush
Dular gro-Buzga
Duluk gro-Ghash
Duma gro-Lag
Dumbuk gro-Bolak
Dumburz gro-Bulfish
Dur gro-Grambak
Durbul gro-Rush
Durgash gro-Rushub
Durz gro-Olor
Durzol gro-Dumulg
Durzub gro-Bogamakh
Durzum gro-Shagrak
Fore Paw
Gakkenfeld
Garothmuk gro-Muzgub
Garzonk gro-Mulakh
Gashna gro-Mogduk
Ghamborz gro-Bagdub
Ghamonk gro-Agadbu
Ghoragdush gro-Kashug
Ghorlorz gro-Moghakh
Glush gro-Dul
Gnaw Tooth
Grat gro-Gholfim
Guarg gro-Yarzol
Gurak gro-Bagrat
Khadba gro-Uzgurn
Khagra gro-Lurkul
Khargol gro-Boguk
Koffutto Gilgar
Largakh gro-Bulfim
Lorbumol gro-Aglakh
Lorzub gro-Bogla
Lugdum gro-Lagdub
Lugrub gro-Ogdum
Lurog gro-Khagdum
Mash gro-Burol
Matuk gro-Magrish
Mauhul gor-Burish
Moghakh gro-Bagdub
Moghakh gro-Bar
Morbash gro-Shagdub
Mug gro-Dulob
Mugdul gro-Yagarz
Muk gro-Dula
Murag gro-Atumph
Murkub gro-Ushul
Murzol gro-Ulfimph
Muzgonk gro-Borbog
Nag gro-Shumba
Nar gro-Shagramph
Nash gro-Khazor
Ogrumbu gro-Bugarn
Olfin gro-Logrob
Olumba gro-Boglar
Optio Bologra
Orakh gro-Badbu
Ra'Gruzgob
Rogdul gro-Bularz
Shakh gro-Durga
Shamar gro-Ogar
Shamob gro-Shatub
Shargam gro-Shagdulg
Sharkub gro-Khashnar
Shat gro-Shazog
Shazgob gra-Luzgan
Shulong gro-Azorku
Shura gro-Urgak
Shurkul gro-Sharga
Shuzug gro-Bug
Snaglak gro-Yak
Snakha gro-Marob
Snat gro-Ushug
Ugdumph gro-Lumbuk
Ughash gro-Batul
Ulam gro-Shugham
Umbra
Umug gro-Mashnar
Uram gro-Glorzuf
Urim gro-Bulag
Urul gro-Ghorak
Urzog gro-Shadbuk
Ushamph gro-Shamub
Ushat gra-Gulfim
Yadba gro-Khash
Yak gro-Skandar
Yam gro-Muzgur
Yambagorn gor-Shulor
Yambul gro-Bogrol
Yargol gro-Bashnag
Yashnarz gro-Ufthamph
Yatur gro-Shak
Yatúr gro-Shak
Bakh gro-Sham
Yagak gro-Gluk
